枠,馬番,印,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気
1,1,--,ベラジオオペラ,牡4,58.0,横山和,栗東上村,514(-4),13.3,4
2,2,--,マテンロウスカイ,セ5,58.0,横山典,栗東松永幹,476(+2),121.4,12
2,3,--,ステラヴェローチェ,牡6,58.0,佐々木,栗東須貝,504(-4),150.3,13
3,4,--,タスティエーラ,牡4,58.0,松山,美浦堀,506(+18),53.8,9
3,5,--,ノースブリッジ,牡6,58.0,岩田康,美浦奥村武,500(-2),68.7,10
4,6,--,ソールオリエンス,牡4,58.0,横山武,美浦手塚,468(+8),15.4,7
4,7,--,ドウデュース,牡5,58.0,武豊,栗東友道,504(-4),3.8,2
5,8,--,キングズパレス,牡5,58.0,シュタルケ,美浦戸田,500(+6),97.0,11
5,9,--,ホウオウビスケッツ,牡4,58.0,岩田望,美浦奥村武,502(0),48.1,8
6,10,--,ダノンベルーガ,牡5,58.0,Ｃデムーロ,美浦堀,498(前計不),14.3,5
6,11,--,ジャスティンパレス,牡5,58.0,坂井,栗東杉山晴,470(-2),15.0,6
7,12,--,リバティアイランド,牝4,56.0,川田,栗東中内田,492(前計不),2.3,1
7,13,--,シルトホルン,牡4,58.0,大野,美浦新開,468(+4),412.0,14
8,14,--,レーベンスティール,牡4,58.0,ルメール,美浦田中博,480(-4),4.7,3
8,15,--,ニシノレヴナント,セ4,58.0,田辺,美浦上原博,490(0),415.8,15
