枠,馬番,印,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気
1,1,--,リラエンブレム,牡3,57.0,浜中,栗東武幸,484(+4),76.9,10
1,2,--,ショウヘイ,牡3,57.0,ルメール,栗東友道,460(+4),14.4,6
2,3,--,エリキング,牡3,57.0,川田,栗東中内田,500(0),17.0,8
2,4,--,ドラゴンブースト,牡3,57.0,丹内,栗東藤野,470(-6),298.5,18
3,5,--,レディネス,牡3,57.0,横山典,栗東昆,496(+6),50.1,9
3,6,--,ファンダム,牡3,57.0,北村宏,美浦辻,470(0),10.8,4
4,7,--,ミュージアムマイル,牡3,57.0,レーン,栗東高柳大,496(-4),5.7,2
4,8,--,エムズ,牡3,57.0,戸崎圭,栗東池江,448(+6),77.5,11
5,9,--,ジョバンニ,牡3,57.0,松山,栗東杉山晴,480(-2),15.9,7
5,10,--,トッピボーン,牡3,57.0,岩田望,栗東笹田,464(-4),84.4,12
6,11,--,ニシノエージェント,牡3,57.0,津村,美浦千葉,476(+6),268.2,17
6,12,--,カラマティアノス,牡3,57.0,池添,美浦奥村武,462(-2),126.4,15
7,13,--,クロワデュノール,牡3,57.0,北村友,栗東斉藤崇,504(+4),2.1,1
7,14,--,ホウオウアートマン,牡3,57.0,田辺,栗東矢作,462(0),232.0,16
7,15,--,ファウストラーゼン,牡3,57.0,Ｍデムーロ,栗東西村,458(+2),85.2,13
8,16,--,ファイアンクランツ,牡3,57.0,佐々木,美浦堀,456(+2),114.7,14
8,17,--,マスカレードボール,牡3,57.0,坂井,美浦手塚久,466(+6),6.8,3
8,18,--,サトノシャイニング,牡3,57.0,武豊,栗東杉山晴,496(0),12.3,5
